global_project_id,report_date,project_name_clean,project_status,sector_clean,agency_clean,annual_outlay,approval_gt_doc_orig,cost_anticipated,cost_escalation_rate_clean,cost_original,cost_overrun_amount_calc,cost_overrun_percent_clean,cost_revised,delay_reason_missing,elapsed_schedule_ratio_clean,expenditure_cumulative,expenditure_ratio,has_clearance_issue,has_land_acquisition_issue,is_ahead_of_schedule,is_revised,month_gap_prev,physical_progress_clean,prev_progress,progress_isna,progress_velocity_clean,project_age_months,project_size_ord,remaining_schedule_months,schedule_slippage_clean,state_clean,time_overrun_months_calc,total_planned_duration_months,time_overrun_prediction,time_overrun_probability,cost_overrun_prediction,cost_overrun_probability,risk_class_prediction,risk_class_probability,risk_class_0_probability,risk_class_1_probability,risk_class_2_probability
001d0df63f938fce,2024-04-30,STATE OF WEST BENGAL UNDER BHARA,Ongoing,General,Unknown Agency,,0,184.9,10.0,12.0,172.9,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,2,5.0,0.0,Unknown State,33.0,,1,0.5100911304819566,1,0.6482775660780267,2,0.7225171217671215,0.2304232989232989,0.0470595793095793,0.7225171217671215
00216372cb5371c1,2024-04-30,ANTA SOLAR 90 MW,Ongoing,General,Unknown Agency,,0,1553.0,10.0,9.0,1544.0,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,3,-1.0,0.0,Unknown State,102.0,,1,0.4679226485858768,0,0.2888882797996625,0,0.5888190992014521,0.5888190992014521,0.1188872695931519,0.2922936312053958
007033edb256507d,2024-04-30,HIGHWAYS AUTHORITY OF INDIA),Ongoing,General,Unknown Agency,,0,2024.0,10.0,150.0,1874.0,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,3,-17.0,0.0,Unknown State,0.0,,1,0.5303599651995081,0,0.2820056468116033,0,0.5200560689310688,0.5200560689310688,0.2042355006105005,0.2757084304584304
00842b5e8c6de547,2024-04-30,CH.88.00KM (DESIGN CH.71.800,Ongoing,General,Unknown Agency,,0,102.0,10.0,7.0,95.0,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,1,3.0,0.0,Unknown State,0.0,,1,0.5329352228690242,1,0.8135800550099173,2,0.8444481588672762,0.1200864731673555,0.0354653679653679,0.8444481588672762
0090306b67badfc9,2024-04-30,UTTAR PRADESH,Ongoing,General,Unknown Agency,,0,231.79,10.0,1.0,230.79,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,2,-1.0,0.0,Unknown State,62.0,,1,0.4856841563980997,1,0.6290422272484616,2,0.6564258380508379,0.2839521034521035,0.0596220584970585,0.6564258380508379
009d7316b1cbce25,2024-04-30,BUDHAPANK - SALEGAON VIA RAJATGARH 3RD AND 4TH LINE.,Ongoing,General,Unknown Agency,,0,2499.71,10.0,4.0,2495.71,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,3,10.0,0.0,Unknown State,118.0,,1,0.4700344287404074,0,0.2846108202398513,0,0.5369829074434337,0.5369829074434337,0.1857352508602508,0.2772818416963153
00a11c07366c9355,2024-04-30,.070(DESIGN CHANGES) ON HOSADURGA  HOL,Ongoing,General,DESIGN CHANGES,,0,224.44,10.0,11.0,213.44,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,2,0.0,0.0,Unknown State,29.0,,1,0.5061210836368568,1,0.6564955261121339,2,0.729756008697185,0.235651884879826,0.0345921064229887,0.729756008697185
00ad998940c0954b,2024-04-30,IMPHAL – MOREH (PACKAGE 4),Ongoing,General,Unknown Agency,,0,2.0,-0.9090909090909092,22.0,-20.0,-90.9090909090909,,1,,,,False,False,0,0,,,,1,0.0,,1,1.0,0.0,Unknown State,3.0,,1,0.5352793882439928,1,0.903804002731562,2,0.9599357448107448,0.0105238095238095,0.0295404456654456,0.9599357448107448
014276508b4d40b3,2024-04-30,FARRUKHABAD I AND D AND STP WORKS  HAM,Ongoing,General,Unknown Agency,,0,967.23,10.0,3.0,964.23,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,2,0.0,0.0,Unknown State,73.0,,1,0.4685237293013948,0,0.4295876934520494,2,0.4805459875092229,0.4155387708696533,0.1039152416211239,0.4805459875092229
014ba04b25402c75,2024-04-30,SECTION OF NH-102B (PKG- IB),Ongoing,General,PKG- IB,,0,295.97,0.0,295.97,0.0,0.0,,1,,,,False,False,0,0,,,,1,0.0,,2,2.0,0.0,Unknown State,14.0,,1,0.5143800168740991,1,0.5802877738446971,2,0.7150229296846944,0.2275824845089551,0.0573945858063505,0.7150229296846944
0159804364f5f8d6,2024-04-30,(WESTERN RAILWAY),Ongoing,General,WESTERN RAILWAY,,0,942.95,1.2887135922330095,412.0,530.95,128.87135922330097,,1,,,,False,False,0,0,,,,1,0.0,,2,-46.0,0.0,Unknown State,15.0,,1,0.5152782559515667,0,0.4325260462065353,2,0.545607453820689,0.342778632315397,0.1116139138639138,0.545607453820689
0160ab0a00572583,2024-04-30,(NORTH EASTERN RAILWAY),Ongoing,General,NORTH EASTERN RAILWAY,,0,250.93,10.0,19.0,231.93,1000.0,,1,,,,False,False,0,0,,,,1,0.0,,2,-25.0,0.0,Unknown State,0.0,,1,0.5155537700268378,1,0.6580572009970332,2,0.701120702010408,0.2666178511031452,0.0322614468864468,0.701120702010408
